"","CXQ_T_tpm","GY_T_tpm","HCM_T_tpm","LGL_T_tpm","MYP_T_tpm","SMJ_T_tpm","XB_T_tpm","CXQ_N_tpm","GY_N_tpm","HCM_N_tpm","LGL_N_tpm","MYP_N_tpm","SMJ_N_tpm","XB_N_tpm"
"AAMP",109.86635977077,97.6315447831071,79.4679785175906,90.877537190625,62.2342372528148,82.763476634733,97.2927211767257,117.173068002176,72.8282937777561,95.4581073611309,98.4341867655976,70.2159934411454,78.6665724985853,99.4342808501845
"AAR2",23.9558228071605,15.3147521228403,24.4516856977202,15.8815113537015,23.0497175010425,18.6885269820365,16.9592816730072,16.2418114062423,12.7160512945288,13.1254897621555,14.2314486890021,12.7665442620264,13.1110954164309,16.5723801416974
"AARS1",52.0419598914176,48.8157723915536,45.0827955051716,66.1729639737561,28.4279849179525,53.3957913772471,50.8778450190217,24.3627171093634,26.5881072521967,19.0916214722262,30.8348054928378,37.3877367673631,29.4999646869695,40.6776603478028
"AARS2",4.95637713251596,3.82868803071008,3.05646071221502,3.52922474526699,3.07329566680567,1.7798597125749,5.35556263358123,3.48038815848049,3.46801398941696,2.38645268402827,3.55786217225052,3.64758407486469,3.27777385410772,3.01316002576317
"AARSD1",16.5212571083865,22.9721281842605,27.5081464099352,31.7630227074029,29.9646327513553,26.6978956886236,19.6370629897979,25.5228464955236,21.9640885996407,25.0577531822969,26.0909892631705,20.973608430472,21.8518256940515,42.1842403606843
"AASDH",3.30425142167731,3.82868803071008,3.82057589026878,5.29383711790049,3.07329566680567,4.44964928143726,2.67778131679062,3.48038815848049,4.62401865255594,3.57967902604241,3.55786217225052,3.64758407486469,4.3703651388103,3.01316002576317
"AASDHPPT",16.5212571083865,11.4860640921302,12.9899580269138,12.3522866084345,14.5981544173269,16.0187374131741,12.4963128116895,9.2810350892813,9.24803730511189,8.35258439409895,7.11572434450103,10.0308562058779,7.64813899291802,6.02632005152634
"AASS",0.826062855419327,2.87151602303256,3.05646071221502,0.882306186316748,3.07329566680567,0.889929856287452,1.78518754452708,2.32025877232033,3.46801398941696,2.38645268402827,2.37190811483368,2.73568805614852,1.09259128470257,1.50658001288158
"AATBC",0.826062855419327,2.87151602303256,0.764115178053755,1.7646123726335,0.768323916701418,0,0,0,0,0,0,0.911896018716174,1.09259128470257,0
"AATF",34.6946399276117,39.2440523147784,24.4516856977202,42.3506969432039,39.1845197517723,42.7166331017977,29.4555944846968,27.8431052678439,24.2760979259187,22.6713004982686,28.4628973780041,24.6211925053367,22.9444169787541,36.157920309158
"AATK",0,1.91434401535504,0.764115178053755,0.882306186316748,0.768323916701418,2.66978956886236,2.67778131679062,0,0,1.19322634201414,0,0.911896018716174,0,1.50658001288158
"ABAT",4.13031427709663,3.82868803071008,13.7540732049676,6.17614330421723,9.21988700041701,0.889929856287452,1.78518754452708,6.96077631696098,10.4040419682509,8.35258439409895,13.0454946315852,5.47137611229704,7.64813899291802,3.01316002576317
"ABCA1",4.95637713251596,2.87151602303256,6.8770366024838,2.64691855895024,9.98821091711843,8.89929856287452,2.67778131679062,3.48038815848049,5.78002331569493,7.15935805208482,5.9297702870842,5.47137611229704,5.46295642351287,3.01316002576317
"ABCA10",0,0,0.764115178053755,0.882306186316748,0,0.889929856287452,0,2.32025877232033,5.78002331569493,8.35258439409895,3.55786217225052,2.73568805614852,2.18518256940515,1.50658001288158
"ABCA11P",4.13031427709663,0.957172007677521,3.05646071221502,1.7646123726335,3.07329566680567,2.66978956886236,1.78518754452708,2.32025877232033,3.46801398941696,2.38645268402827,2.37190811483368,2.73568805614852,2.18518256940515,1.50658001288158
"ABCA2",10.7388171204512,12.4432360998078,10.6976124927526,8.82306186316748,8.45156308371559,8.89929856287452,19.6370629897979,12.7614232477618,12.7160512945288,7.15935805208482,10.6735865167516,7.29516814972939,8.74073027762059,9.0394800772895
"ABCA5",2.47818856625798,5.74303204606512,3.82057589026878,6.17614330421723,7.68323916701418,2.66978956886236,3.57037508905416,18.5620701785626,24.2760979259187,42.9561483125089,16.6033568038357,14.5903362994588,27.3147821175644,12.0526401030527
"ABCA6",0,0.957172007677521,2.29234553416127,0,0.768323916701418,0.889929856287452,0.892593772263539,3.48038815848049,3.46801398941696,3.57967902604241,2.37190811483368,2.73568805614852,2.18518256940515,1.50658001288158
"ABCA7",3.30425142167731,2.87151602303256,1.52823035610751,1.7646123726335,6.91491525031276,3.55971942514981,7.14075017810831,3.48038815848049,4.62401865255594,3.57967902604241,3.55786217225052,2.73568805614852,3.27777385410772,1.50658001288158
"ABCA8",0,0,5.34880624637629,0.882306186316748,0.768323916701418,0,0.892593772263539,18.5620701785626,18.4960746102238,19.0916214722262,24.9050352057536,19.1498163930396,14.2036867011335,6.02632005152634
"ABCA9",0,0,0.764115178053755,0,0.768323916701418,0,0,1.16012938616016,1.15600466313899,2.38645268402827,1.18595405741684,1.82379203743235,1.09259128470257,0
"ABCB1",2.47818856625798,12.4432360998078,13.7540732049676,13.2345927947512,36.879548001668,11.5690881317369,3.57037508905416,30.1633640401642,52.0202098412544,73.9800332048764,56.9257947560083,29.1806725989176,51.351790381021,18.078960154579
"ABCB10",6.60850284335461,9.57172007677521,7.64115178053755,8.82306186316748,9.98821091711843,11.5690881317369,5.35556263358123,5.80064693080081,11.5600466313899,8.35258439409895,9.48763245933471,8.20706416844556,9.83332156232317,6.02632005152634
"ABCB4",0,0.957172007677521,0.764115178053755,0,0.768323916701418,0.889929856287452,2.67778131679062,0,1.15600466313899,1.19322634201414,0,0.911896018716174,0,1.50658001288158
"ABCB6",9.91275426503192,6.70020405374264,4.58469106832253,7.94075567685073,11.5248587505213,9.78922841916197,8.92593772263539,4.64051754464065,4.62401865255594,5.96613171007068,3.55786217225052,3.64758407486469,6.55554770821545,7.53290006440792
"ABCB7",15.6951942529672,12.4432360998078,19.1028794513439,11.4699804221177,9.21988700041701,10.6791582754494,15.1740941284802,11.6012938616016,10.4040419682509,8.35258439409895,10.6735865167516,10.9427522245941,13.1110954164309,12.0526401030527
"ABCB8",5.78243998793529,7.65737606142017,6.8770366024838,11.4699804221177,11.5248587505213,8.00936870658706,21.4222505343249,8.12090570312114,4.62401865255594,7.15935805208482,8.30167840191787,8.20706416844556,10.9259128470257,9.0394800772895
"ABCB9",0.826062855419327,1.91434401535504,1.52823035610751,0.882306186316748,1.53664783340284,1.7798597125749,0.892593772263539,1.16012938616016,1.15600466313899,2.38645268402827,1.18595405741684,2.73568805614852,1.09259128470257,1.50658001288158
"ABCC1",26.4340113734185,27.7579882226481,29.8004919440965,19.4107360989684,23.8180414177439,24.9180359760486,16.9592816730072,9.2810350892813,8.0920326419729,11.9322634201414,11.8595405741684,11.8546482433103,14.2036867011335,10.5460600901711
"ABCC10",5.78243998793529,6.70020405374264,6.11292142443004,9.70536804948422,5.37826741690992,1.7798597125749,11.603719039426,3.48038815848049,4.62401865255594,9.54581073611309,5.9297702870842,4.55948009358087,7.64813899291802,6.02632005152634
"ABCC13",0,0,0,0,0,0,0,3.48038815848049,1.15600466313899,4.77290536805654,1.18595405741684,1.82379203743235,3.27777385410772,1.50658001288158
"ABCC2",0.826062855419327,0,3.82057589026878,1.7646123726335,3.84161958350709,0.889929856287452,0.892593772263539,0,0,1.19322634201414,0,0,0,0
"ABCC3",20.6515713854832,34.4581922763907,9.93349731469882,37.0568598253034,19.9764218342369,19.5784568383239,27.6704069401697,41.7646579017659,52.0202098412544,60.8545434427209,75.9010596746777,32.8282566737822,48.0740165269133,39.1710803349212
"ABCC4",6.60850284335461,4.7858600383876,3.82057589026878,6.17614330421723,8.45156308371559,7.11943885029961,6.24815640584477,4.64051754464065,10.4040419682509,4.77290536805654,9.48763245933471,7.29516814972939,4.3703651388103,3.01316002576317
"ABCC5",13.2170056867092,12.4432360998078,16.8105339171826,11.4699804221177,11.5248587505213,8.00936870658706,15.1740941284802,18.5620701785626,19.6520792733628,32.2171112343817,11.8595405741684,10.9427522245941,15.296277985836,6.02632005152634
"ABCC6",2.47818856625798,1.91434401535504,6.8770366024838,1.7646123726335,4.60994350020851,4.44964928143726,4.46296886131769,6.96077631696098,8.0920326419729,7.15935805208482,8.30167840191787,4.55948009358087,8.74073027762059,9.0394800772895
"ABCC6P1",0.826062855419327,0.957172007677521,1.52823035610751,0,0.768323916701418,0.889929856287452,0.892593772263539,2.32025877232033,3.46801398941696,1.19322634201414,2.37190811483368,0.911896018716174,2.18518256940515,1.50658001288158
"ABCC6P2",0.826062855419327,0.957172007677521,3.05646071221502,0.882306186316748,0.768323916701418,1.7798597125749,0.892593772263539,2.32025877232033,3.46801398941696,2.38645268402827,2.37190811483368,0.911896018716174,2.18518256940515,3.01316002576317
"ABCC9",1.65212571083865,0.957172007677521,3.82057589026878,0.882306186316748,2.30497175010425,0.889929856287452,0.892593772263539,1.16012938616016,1.15600466313899,1.19322634201414,1.18595405741684,0.911896018716174,1.09259128470257,0
"ABCD1",2.47818856625798,1.91434401535504,3.05646071221502,2.64691855895024,3.84161958350709,2.66978956886236,9.81853149489893,2.32025877232033,1.15600466313899,2.38645268402827,2.37190811483368,2.73568805614852,3.27777385410772,4.51974003864475
"ABCD3",23.9558228071605,21.0577841689055,15.2823035610751,29.1161041484527,19.2080979175354,14.2388777005992,20.5296567620614,32.4836228124846,38.1481538835865,50.1155063645937,40.3224379521725,28.2687765802014,34.9629211104824,21.0921201803422
"ABCD4",14.0430685421286,22.9721281842605,22.1593401635589,18.5284299126517,11.5248587505213,16.0187374131741,16.0666879007437,31.3234934263244,20.8080839365017,31.0238848923675,22.5331270909199,18.2379203743235,24.0370082634566,30.1316002576317
"ABCE1",30.5643256505151,30.6295042456807,38.9698740807415,44.9976155021541,39.9528436684737,47.1662823832349,25.8852193956426,15.0816820200821,18.4960746102238,11.9322634201414,20.1612189760863,23.7092964866205,15.296277985836,13.5592201159343
