"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5_8S_rRNA",22.8825345113376,-0.686292516613728,0.447535661108202,-1.53349235883082,0.125154587935111,0.296576641790995
"A1BG-AS1",1.25006648918495,-1.31621465626401,0.863462840490186,-1.52434429664257,0.127422727134016,0.300107019462283
"A1CF",7.73072661123285,-1.29971863473757,0.372433593289021,-3.48979968015115,0.000483382740719752,0.00431604122978779
"A2M",166.414188798199,-0.678812344706607,0.294881722101564,-2.301981756851,0.0213362010021497,0.0832753319636845
"A4GALT",2.01516104758899,0.803118971170988,0.699909225429277,1.14746161643806,0.251190888080776,0.467993107220504
"AAAS",26.7685037018805,0.300419159569826,0.201484010345241,1.49103226134452,0.135953025049319,0.312541224354988
"AACS",14.5497704677475,0.097943269535479,0.315833174938387,0.310110771468468,0.756476721339089,0.880891841195992
"AADACP1",1.04948494086713,-0.889648379503155,0.957263382686367,-0.929366353705639,0.352699258552317,0.575954059761536
"AADAT",3.7389003647502,0.889165652866837,0.492330390692981,1.80603446318902,0.070912956537787,0.201380926032456
"AAGAB",30.4755037427373,0.110245758816074,0.21198325064402,0.520068252945172,0.603016004657416,0.783500951569239
"AAK1",5.3073642543111,-0.321875223954595,0.395013173958174,-0.814846808093233,0.415160003777235,0.634383182844457
"AAMDC",36.040035704819,-0.480106702714247,0.183290288526968,-2.61937883655854,0.00880900596992271,0.0428509775578287
"AAMP",89.4531684302102,-0.0247284439094019,0.159556433332558,-0.154982430936277,0.876835168024183,0.943257888536215
"AAR2",16.9332942221137,0.50829878224177,0.230040075121866,2.20960970375485,0.0271322612700005,0.099819999992398
"AARS1",39.5184090146343,0.724825162453091,0.205456843254789,3.52787062708946,0.000418916847158998,0.00386288425647726
"AARS2",3.45790739947012,0.151356091878938,0.485195882707747,0.311948425931113,0.755079718902403,0.879989004588812
"AARSD1",25.6221069904001,-0.041016996817514,0.209500184729271,-0.195785015037188,0.844778439355672,0.928081339402518
"AASDH",3.76579542673984,-0.00377334481333329,0.458372257338559,-0.00823205321203865,0.993431846022177,0.997078038794281
"AASDHPPT",11.0118190615265,0.725024418560717,0.279588880437739,2.59318044918518,0.00950928624283478,0.0453649827693822
"AASS",2.0904465542097,-0.247668255550516,0.636511324436216,-0.389102669571332,0.697200198760178,0.845463550263236
"AATBC",0.642794117804236,1.38558432221051,1.32616658180119,1.04480413035941,0.296113505546438,NA
"AATF",31.3624823632046,0.441880954482491,0.18636813306881,2.37101132691683,0.0177394874335466,0.0726170381509586
"AATK",0.949168753977988,1.4404530504825,1.10316538431932,1.30574533153185,0.191639176599715,0.393694959055613
"ABAT",6.76284254714981,-0.446129330784393,0.477707435588008,-0.933896560004878,0.35035725348732,0.574366494074635
"ABCA1",5.37244082062026,0.106370155180913,0.427027672418682,0.249094290724609,0.803287845640996,0.906802322691514
"ABCA10",2.06960932238985,-3.35818650643128,0.940466664440237,-3.5707661243156,0.000355938608850349,0.00340628685354286
"ABCA11P",2.45792259634659,0.0426012759959782,0.57564986942995,0.0740055340204716,0.941005981826732,0.971123897600669
"ABCA2",10.5768892734524,0.21959780193019,0.298833449242017,0.734850139725638,0.462430767080987,0.677634275781998
"ABCA5",13.4640553837601,-2.2816226508652,0.367639426795367,-6.20614244438799,5.43009638443945e-10,3.19157121745262e-08
"ABCA6",1.79484321530714,-1.72091973433988,0.759004796767296,-2.267337099409,0.0233696407744574,0.0892061792692086
"ABCA7",3.56042749710635,0.240919737448385,0.51320553537463,0.469441034521418,0.638754423256459,0.806779058281433
"ABCA8",9.16618962386597,-3.85647299038904,0.570957613995393,-6.75439453973225,1.43432951844118e-11,1.22360602176048e-09
"ABCA9",0.738383086259597,-2.21525058085698,1.17681330867982,-1.8824146230485,0.0597797419940714,NA
"ABCB1",28.9735662046475,-1.7243979564626,0.443294840712114,-3.88995719799604,0.000100261904609967,0.00123397359762753
"ABCB10",8.48749388887077,-0.00575543771925495,0.31376379286366,-0.0183432182111461,0.985365050111002,0.993427103562523
"ABCB4",0.77321637944726,0.375969082316289,1.16534447376092,0.322624846799953,0.74697937414033,NA
"ABCB6",6.85021370594802,0.729207535643477,0.367113622660594,1.98632655023442,0.0469970764206306,0.149248958494702
"ABCB7",12.2087445796688,0.287382531542897,0.26909758985992,1.06794910980992,0.285543468132398,0.508454011897491
"ABCB8",9.22298064055934,0.36316091806397,0.350257621267991,1.03683944620325,0.299810688473823,0.522821372295958
"ABCB9",1.47024606256549,-0.289021715336683,0.745300193223544,-0.387792352617832,0.69816970526909,0.846295512338604
"ABCC1",17.6334181047221,1.11715019396914,0.240573542615404,4.64369515377293,3.42232420254445e-06,7.18591814624276e-05
"ABCC10",6.34833618976871,0.172994487487042,0.397558546451792,0.435142167187745,0.663459237745836,0.823150003812021
"ABCC13",1.22881415367961,-3.97527428860057,1.0587611593447,-3.75464688472422,0.00017358602564144,0.00192245235667734
"ABCC2",0.944901476599558,2.62065569837285,1.1986489959601,2.18634121181885,0.0287906511526716,0.104476332294175
"ABCC3",37.1385164864744,-1.05768153811998,0.262698577192866,-4.02621723125457,5.6681328172819e-05,0.000766481474902187
"ABCC4",6.2281450764767,-0.0447538035184451,0.373238256897111,-0.119906795971299,0.904556980914472,0.954692906897996
"ABCC5",14.5146592309884,-0.372165954280621,0.298284134614088,-1.24768940447375,0.212144822995013,0.419762765075221
"ABCC6",5.67216279008009,-0.950061592726713,0.400847041002766,-2.37013497804555,0.0177815923504989,0.0727490798028496
"ABCC6P1",1.41566989886034,-1.22841370178039,0.808449881121823,-1.51946797255485,0.128644743783511,0.301686676082947
"ABCC6P2",1.8442608098323,-0.810800227259063,0.693519920635283,-1.16910877847077,0.242359807530336,0.457766898610878
"ABCC9",1.29281978042184,0.766476716228913,0.847769959613767,0.904109313543157,0.365937440321979,0.588338933763314
"ABCD1",3.22811990594778,0.51232357364308,0.557211696035787,0.919441528754587,0.357864675971755,0.580642352929315
"ABCD3",27.7701561392609,-0.782850422983044,0.213243982993994,-3.67114894400136,0.000241462568392816,0.00248874544899426
"ABCD4",21.3863120791832,-0.544297485792155,0.218553711582107,-2.49045180634085,0.0127580797177601,0.0567276803826282
"ABCE1",26.8858356100976,1.10830680095904,0.216720009716682,5.11400309739711,3.1540218065646e-07,9.14298865052485e-06
"ABCF1",25.1131275507156,0.0895261556666203,0.187584246470323,0.477258391102601,0.633178136156823,0.803324245320405
"ABCF2",11.9158546119166,0.548262963190288,0.268351381339473,2.04307859513761,0.0410446584508435,0.135625432937725
"ABCF2-H2BK1",10.5671306118385,0.591748370387583,0.290517066293482,2.03687989121367,0.0416620797176814,0.136817683261167
"ABCF3",27.4495221882555,0.0998169578790568,0.220490145275,0.452704848802031,0.650761287585843,0.814693103762604
"ABCG1",13.234812787427,-0.946729202095037,0.292436258034764,-3.23738652811818,0.00120629901879026,0.00904512207509787
"ABCG2",9.52568002214889,-4.19814607132952,0.840423023919136,-4.99527732088103,5.87512798505043e-07,1.57185995858096e-05
"ABHD10",12.0244523084149,0.285875666099302,0.279395898051588,1.02319206578515,0.306217043585188,0.529171691594314
"ABHD11",39.6858073699157,0.0894184927790568,0.227717900595878,0.392672216567393,0.694561593685066,0.843840334645536
"ABHD11-AS1",12.2632832736668,-2.32668444647553,0.426872992091275,-5.45053092976665,5.02196674549236e-08,1.8557658797885e-06
"ABHD12",54.1021353953903,-0.19052664055111,0.235244869265391,-0.809907740585695,0.417993202696711,0.637342510781248
"ABHD12B",2.01044585414457,1.30896983510644,1.17798069254056,1.11119803863965,0.266483115314164,0.486050877034227
"ABHD13",5.02437912250303,0.245042725580032,0.398074207720243,0.61557046607813,0.538178048574365,0.73591091716787
"ABHD14A",5.30979502551427,0.00404635802744428,0.429068757187564,0.00943055852858438,0.992475614481209,0.996768657448013
"ABHD14A-ACY1",7.21942104058366,0.28531930389967,0.371799813975619,0.767400340653157,0.442843526060674,0.660658639008673
"ABHD14B",36.8426643382454,-0.594755756853299,0.237019381751451,-2.50931275095885,0.0120966330281453,0.054526157752772
"ABHD15",5.47951156731699,-0.634429558393734,0.391235896251566,-1.62160365261012,0.10488824007377,0.263305286036878
"ABHD15-AS1",0,0,0,0,1,NA
"ABHD16A",27.6410850537905,-0.208373809800729,0.199039973995033,-1.04689427765866,0.295148341381234,0.518343954548273
"ABHD17A",4.50099834486291,-0.628797867673844,0.439868452485514,-1.4295134468516,0.15285671284152,0.338776405286676
"ABHD17B",8.27137525909929,-0.29102034726084,0.311290219079011,-0.934884327949199,0.349847914548115,0.573942803987781
"ABHD17C",47.8013488066535,-0.633713257292587,0.213732183666859,-2.96498752045853,0.00302695208376045,0.0188765158312673
"ABHD18",4.57536796614294,-0.393690916394054,0.417077308549587,-0.943927920133416,0.345206483311119,0.570026516917486
"ABHD2",29.3833650399124,1.6613314069467,0.43548763999426,3.81487613969618,0.000136251256242621,0.00159037920597818
"ABHD3",48.1735955251028,-1.79346495933483,0.245944474135004,-7.2921539125549,3.05038390180287e-13,4.10262894324459e-11
"ABHD4",10.2805824525739,-0.442736186726721,0.283075048456859,-1.56402406054589,0.117811918082085,0.285012822078665
"ABHD5",13.8383932679381,-0.1785723826592,0.259379623657638,-0.688459564174949,0.49116342555417,0.699648799989985
"ABHD6",9.78764522042533,-0.19870081666809,0.306866443348356,-0.647515624386873,0.517298285690981,0.719507956074091
"ABHD8",1.06040416082412,-0.231008149751075,0.915451219344344,-0.252343483595472,0.800775580298498,0.905322123307556
"ABI1",27.8925579233965,-0.114231203029057,0.180910318273913,-0.631424476607804,0.527763016066264,0.727312292703153
"ABI2",10.3686288137126,0.828622161529156,0.328534826644334,2.52217449818861,0.0116631835525883,0.0531176532204365
"ABI3",5.00034030607846,-0.866571949539061,0.466415014934625,-1.85794179387755,0.0631772804777962,0.185372173791867
"ABI3BP",13.7191894012426,-1.68055065568018,0.458559219662724,-3.66484978083364,0.000247483798948112,0.00253930284157825
"ABITRAM",12.4327876860528,0.186351124033155,0.269882201779765,0.690490602211795,0.489885717842007,0.698845723081028
"ABL1",17.3634203452994,0.207032119266957,0.232629995330678,0.889963132108846,0.373485682790381,0.595638047043863
"ABL2",3.05832900704776,0.941875750073116,0.549929375191886,1.71272129215587,0.086763826060614,0.230973102578264
"ABLIM1",38.1293693859099,0.187663981689615,0.320272219675302,0.585951481773449,0.557908119801435,0.751851446155951
"ABLIM2",5.87396913390307,0.991926878788675,0.449081030763508,2.20879264729183,0.0271890667068874,0.0999042985201368
"ABLIM3",3.11746527192944,0.284428773903312,0.514252542114304,0.553091624465107,0.580200671552616,0.76777748588818
"ABO",16.5544849315262,-1.06843752919638,0.338555651967225,-3.15586971591841,0.00160020320211838,0.0113435107333454
"ABR",50.4422180886263,-0.347883588056612,0.228351015146737,-1.52345978332115,0.127643714946126,0.300282543402257
"ABRACL",100.187501164021,-0.6222452540901,0.205706991772365,-3.02491057172562,0.00248706653285324,0.0161099144789791
"ABRAXAS1",3.38206323211162,0.267736449058616,0.502108235362367,0.533224572318343,0.5938781337361,0.776425839263179
"ABRAXAS2",8.23262767487255,0.0781306798050799,0.311416775714833,0.250887832313263,0.801900832018909,0.906168467391637
"ABT1",8.60085106561437,0.0353452515986956,0.317921835031731,0.111175917172118,0.911476848539473,0.958471688065265
"ABTB1",9.75603519146617,0.161653825305839,0.325737621187493,0.49627004923939,0.619703894603614,0.795044115973924
"ABTB2",3.46336493409048,-0.32070860853782,0.510468026297626,-0.62826385202593,0.529831107607268,0.729018304651512
"ABTB3",0.669819102513649,2.09031247993988,1.39642012598757,1.49690801574604,0.134417194218223,NA
"ACAA1",69.318479840924,-0.700041508228726,0.249235670570154,-2.80875328409977,0.00497337436533003,0.0277146345278134
"ACAA2",173.58925507701,-1.11155207562431,0.405565334988974,-2.74074724767719,0.00612996422119568,0.032777305106816
"ACACA",14.3597765989976,0.91556505257558,0.323008725082426,2.83449015918051,0.00458988715569097,0.0260839076312564
"ACACB",5.04569294209812,-1.4276424302964,0.460941063932623,-3.09723420629124,0.00195335478902897,0.0132794324432666
"ACAD10",12.5337131646856,-0.430953791959206,0.257258564909873,-1.6751776257097,0.0938993860931204,0.243137190705897
"ACAD11",5.33061951839768,0.24390467186369,0.398675575437913,0.611787345125873,0.540678463513431,0.738295873208819
"ACAD8",13.7506469740801,-0.42405496230845,0.240306115515106,-1.76464490468531,0.0776234635483982,0.21387883449429
"ACAD9",18.0725266630547,0.576696348090389,0.3067413594434,1.88007365272436,0.0600980406987556,0.179118316947838
"ACADM",34.7416725140675,-0.911879900205885,0.33920456368488,-2.68828900855538,0.00718192069426859,0.0367944042706712
"ACADS",20.1681479148,-1.88326394053865,0.360458180225121,-5.2246392060307,1.74495011300738e-07,5.54262983767814e-06
"ACADSB",8.74402527328144,-0.381068751209355,0.308343413763468,-1.23585824830257,0.216511258908288,0.425192504272197
"ACADVL",241.116480863514,-0.719431040426885,0.215105837126487,-3.34454448116088,0.000824178123309524,0.00669431730298579
"ACAN",1.7393976321214,3.53689791017101,0.974315132986612,3.63013750933869,0.000283270268614904,0.0028401221223317
"ACAP1",7.3897574272037,-0.71006284105802,0.433068183429403,-1.63960980794095,0.101086322497399,0.255999611291548
"ACAP2",12.3233162672585,-0.14019229053162,0.280332439838934,-0.500092998912889,0.617009595589205,0.793169928691616
"ACAP2-IT1",0.750971435487829,-0.173213229286797,1.08921245223871,-0.159026119221079,0.873648295522389,NA
"ACAP3",4.1917485735732,0.640145421059706,0.520374314260073,1.23016337186038,0.218635933000832,0.427826752468591
"ACAT1",81.5139770041278,-0.876670209524324,0.168922614307604,-5.18977410524755,2.10549351331055e-07,6.42799849902111e-06
"ACAT2",43.0604256766137,-0.22173997789043,0.403353421661033,-0.549741159941799,0.582496921427233,0.769566065485589
"ACBD3",23.2213330011115,-0.078348218730723,0.189966053561393,-0.412432733437832,0.680022274959108,0.834546789510001
"ACBD4",4.81472537111805,-1.02343419525884,0.418766362273415,-2.4439264646348,0.0145283874495885,0.0625055608746127
"ACBD5",15.7742685875744,-0.00165531972163682,0.270999646025951,-0.00610819883313909,0.995126392762533,0.997665832889118
"ACBD6",21.2544114514648,0.48294646560685,0.203105374567546,2.37781233822662,0.0174156866657859,0.0716447468265413
"ACCS",11.6970180498795,-0.655312684781909,0.332821995470764,-1.96895846338219,0.0489578610728663,0.153548720158996
"ACD",5.80415776776629,0.76329867110962,0.396345419860335,1.92584203793396,0.0541241006365992,0.165679454255442
"ACE",7.8526292677128,-0.330340505721058,0.353801300157376,-0.933689349287628,0.350464160587987,0.574385712308492
"ACE2",21.1002869762991,0.607155042800322,0.522153463166277,1.16279041628606,0.244914546464476,0.460478351115677
"ACER2",1.71395439386931,0.145680008861325,0.714532097247539,0.20388168624265,0.838445956751363,0.924594451790597
"ACER3",8.61252482784496,-0.410748429943771,0.309046734453813,-1.32908192888593,0.183820941553925,0.383920374434603
"ACHE",3.03288234781283,-1.3857311298564,0.57437163889852,-2.41260368028239,0.0158390318590334,0.066665042746972
"ACIN1",75.5426441855709,-0.232552652487225,0.132708296202386,-1.75235956712588,0.0797119993173159,0.218072281071689
"ACKR1",8.44504944731522,-0.529843662054175,0.665846506084045,-0.795744450429384,0.426180584980891,0.64482111616294
"ACKR2",0.93040839051868,-2.56179451226378,1.128248362422,-2.2705944875155,0.0231715374858593,0.0887449674516144
"ACKR3",12.4998271399405,0.324645259899928,0.360164429490907,0.90138068425806,0.367385947817892,0.589183028786476
"ACKR4",1.45174642410705,0.630686992154313,1.0370467648866,0.608156751950603,0.543083515204697,0.740252062793658
"ACLY",35.512181425475,0.566959789837612,0.188446760628765,3.00859398137657,0.0026245961153292,0.016780554777623
"ACO1",20.3863602092539,0.0730310128571131,0.21586054251571,0.338324975958948,0.735118304196685,0.869067244484662
"ACO2",67.1242686258982,-0.936398621804404,0.211912863344373,-4.41879085123159,9.92546405947991e-06,0.000177737311701996
"ACOT1",3.22367011800618,-1.30401644015721,0.540205789353403,-2.4139253333772,0.0157816960834235,0.0664987131892266
"ACOT11",12.0499395644575,-1.04965181773849,0.320748340172389,-3.27250896193055,0.00106597493080535,0.00824129453236304
"ACOT13",17.6150821529687,-0.791050939326611,0.277809913872862,-2.84745395979148,0.00440704683186819,0.0251983156464803
"ACOT2",9.02839570111902,-0.799631662632404,0.320603129453831,-2.49414802654806,0.012625987778703,0.056249887063043
"ACOT4",1.21349017893673,-1.16494844202488,0.886102544395484,-1.31468806786874,0.188614758359725,0.389949178258859
"ACOT7",28.9398402829506,0.219802505060757,0.289423316879588,0.759449886175563,0.447583481291718,0.664377942497332
"ACOT8",23.1036372232017,-0.452076760278558,0.254805209737803,-1.77420532627158,0.0760291935217721,0.211314082720352
